,antecedents,consequents,confidence
0,"24-Tine Steel Rake, 15-Tine Forged Bow",Common Garden Rake,1
1,"Garden Hose, 24-Tine Steel Rake",15-Tine Forged Bow,1
2,"Garden Hose, Common Garden Rake","24-Tine Steel Rake, 15-Tine Forged Bow",1
3,"Garden Hose, 24-Tine Steel Rake","Common Garden Rake, 15-Tine Forged Bow",1
4,"24-Tine Steel Rake, Common Garden Rake, 15-Tine Forged Bow",Garden Hose,1
5,"Garden Hose, Common Garden Rake, 15-Tine Forged Bow",24-Tine Steel Rake,1
6,"Garden Hose, 24-Tine Steel Rake, 15-Tine Forged Bow",Common Garden Rake,1
7,"Garden Hose, 24-Tine Steel Rake, Common Garden Rake",15-Tine Forged Bow,1
8,"Garden Hose, Common Garden Rake",24-Tine Steel Rake,1
9,"Garden Hose, 24-Tine Steel Rake",Common Garden Rake,1
10,"Garden Hose, Stand-up Weeder",15-Tine Forged Bow,1
11,"Garden Hose, Common Garden Rake",15-Tine Forged Bow,1
12,"24-Tine Steel Rake, 15-Tine Forged Bow",Garden Hose,1
13,"24-Tine Steel Rake, 15-Tine Forged Bow","Garden Hose, Common Garden Rake",1
14,"Garden Hose, 15-Tine Forged Bow",Stand-up Weeder,0.5
15,"Garden Hose, 15-Tine Forged Bow",Common Garden Rake,0.5
16,"Garden Hose, 15-Tine Forged Bow",24-Tine Steel Rake,0.5
17,"Garden Hose, 15-Tine Forged Bow","24-Tine Steel Rake, Common Garden Rake",0.5
