,month_y,usertype,month_year,payment_value
0,201609,New,2016-09,252.24
1,201610,New,2016-10,59090.48000000001
2,201612,New,2016-12,19.62
3,201701,Existing,2017-01,19.62
4,201701,New,2017-01,138468.41999999993
5,201702,Existing,2017-02,170.82999999999998
6,201702,New,2017-02,291737.1800000001
7,201703,Existing,2017-03,650.8199999999999
8,201703,New,2017-03,449212.78000000084
9,201704,Existing,2017-04,2566.6
10,201704,New,2017-04,415221.4299999992
11,201705,Existing,2017-05,5324.209999999999
12,201705,New,2017-05,587594.6100000025
13,201706,Existing,2017-06,6031.2
14,201706,New,2017-06,505245.1800000035
15,201707,Existing,2017-07,10194.69
16,201707,New,2017-07,582188.2300000028
17,201708,Existing,2017-08,11405.560000000001
18,201708,New,2017-08,662990.7600000015
19,201709,Existing,2017-09,12324.500000000004
20,201709,New,2017-09,715437.9499999983
21,201710,Existing,2017-10,13878.260000000006
22,201710,New,2017-10,765799.6200000008
23,201711,Existing,2017-11,18175.96
24,201711,New,2017-11,1176706.8400000003
25,201712,Existing,2017-12,19177.57
26,201712,New,2017-12,859223.9099999991
27,201801,Existing,2018-01,22673.560000000016
28,201801,New,2018-01,1092330.619999999
29,201802,Existing,2018-02,16715.900000000005
30,201802,New,2018-02,975747.4400000036
31,201803,Existing,2018-03,21201.090000000007
32,201803,New,2018-03,1138451.0299999956
33,201804,Existing,2018-04,26968.239999999998
34,201804,New,2018-04,1133817.2399999981
35,201805,Existing,2018-05,29298.35
36,201805,New,2018-05,1124683.8000000003
37,201806,Existing,2018-06,30592.94000000001
38,201806,New,2018-06,993287.5599999926
39,201807,Existing,2018-07,24971.350000000002
40,201807,New,2018-07,1041569.3999999986
41,201808,Existing,2018-08,32858.16
42,201808,New,2018-08,989567.1599999974
43,201809,Existing,2018-09,1363.19
44,201809,New,2018-09,3076.3500000000004
45,201810,Existing,2018-10,499.96000000000004
46,201810,New,2018-10,89.71
